case_id,Target_Leaderboard
251,1
252,0
253,0
254,0
255,0
256,0
257,1
258,1
259,0
260,1
261,0
262,0
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,0
271,1
272,1
273,0
274,1
275,1
276,1
277,1
278,0
279,1
280,1
281,0
282,0
283,1
284,0
285,1
286,0
287,1
288,1
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,1
297,0
298,1
299,1
300,0
301,1
302,1
303,0
304,1
305,0
306,0
307,1
308,1
309,0
310,1
311,1
312,0
313,1
314,1
315,1
316,1
317,1
318,0
319,1
320,0
321,0
322,0
323,1
324,1
325,0
326,0
327,1
328,1
329,0
330,1
331,1
332,0
333,0
334,1
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,0
343,0
344,1
345,1
346,1
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,1
356,1
357,1
358,1
359,1
360,0
361,0
362,1
363,0
364,0
365,1
366,0
367,0
368,0
369,1
370,1
371,1
372,1
373,0
374,1
375,1
376,0
377,1
378,1
379,1
380,1
381,1
382,0
383,1
384,0
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,0
393,0
394,1
395,1
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,1
406,0
407,1
408,1
409,0
410,0
411,0
412,0
413,0
414,1
415,0
416,0
417,1
418,0
419,1
420,0
421,1
422,0
423,0
424,0
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,0
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,0
442,1
443,0
444,1
445,0
446,0
447,0
448,0
449,1
450,1
451,1
452,1
453,0
454,1
455,0
456,0
457,1
458,1
459,1
460,0
461,0
462,0
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,0
471,0
472,1
473,0
474,1
475,0
476,0
477,1
478,0
479,0
480,0
481,0
482,1
483,1
484,0
485,1
486,0
487,0
488,1
489,0
490,0
491,0
492,1
493,0
494,0
495,0
496,1
497,0
498,1
499,0
500,1
501,0
502,1
503,0
504,1
505,0
506,1
507,0
508,0
509,0
510,1
511,1
512,0
513,1
514,1
515,0
516,0
517,1
518,1
